raceId,year,round,circuitId,name,date,time,url
860,2012,1,1,Australian Grand Prix,18/03/2012,06:00:00,http://en.wikipedia.org/wiki/2012_Australian_Grand_Prix
861,2012,2,2,Malaysian Grand Prix,25/03/2012,08:00:00,http://en.wikipedia.org/wiki/2012_Malaysian_Grand_Prix
862,2012,3,17,Chinese Grand Prix,15/04/2012,07:00:00,http://en.wikipedia.org/wiki/2012_Chinese_Grand_Prix
863,2012,4,3,Bahrain Grand Prix,22/04/2012,12:00:00,http://en.wikipedia.org/wiki/2012_Bahrain_Grand_Prix
864,2012,5,4,Spanish Grand Prix,13/05/2012,12:00:00,http://en.wikipedia.org/wiki/2012_Spanish_Grand_Prix
865,2012,6,6,Monaco Grand Prix,27/05/2012,12:00:00,http://en.wikipedia.org/wiki/2012_Monaco_Grand_Prix
866,2012,7,7,Canadian Grand Prix,10/06/2012,18:00:00,http://en.wikipedia.org/wiki/2012_Canadian_Grand_Prix
867,2012,8,12,European Grand Prix,24/06/2012,12:00:00,http://en.wikipedia.org/wiki/2012_European_Grand_Prix
868,2012,9,9,British Grand Prix,08/07/2012,12:00:00,http://en.wikipedia.org/wiki/2012_British_Grand_Prix
869,2012,10,10,German Grand Prix,22/07/2012,12:00:00,http://en.wikipedia.org/wiki/2012_German_Grand_Prix
870,2012,11,11,Hungarian Grand Prix,29/07/2012,12:00:00,http://en.wikipedia.org/wiki/2012_Hungarian_Grand_Prix
871,2012,12,13,Belgian Grand Prix,02/09/2012,12:00:00,http://en.wikipedia.org/wiki/2012_Belgian_Grand_Prix
872,2012,13,14,Italian Grand Prix,09/09/2012,12:00:00,http://en.wikipedia.org/wiki/2012_Italian_Grand_Prix
873,2012,14,15,Singapore Grand Prix,23/09/2012,12:00:00,http://en.wikipedia.org/wiki/2012_Singapore_Grand_Prix
874,2012,15,22,Japanese Grand Prix,07/10/2012,06:00:00,http://en.wikipedia.org/wiki/2012_Japanese_Grand_Prix
875,2012,16,35,Korean Grand Prix,14/10/2012,06:00:00,http://en.wikipedia.org/wiki/2012_Korean_Grand_Prix
876,2012,17,68,Indian Grand Prix,28/10/2012,09:30:00,http://en.wikipedia.org/wiki/2012_Indian_Grand_Prix
877,2012,18,24,Abu Dhabi Grand Prix,04/11/2012,13:00:00,http://en.wikipedia.org/wiki/2012_Abu_Dhabi_Grand_Prix
878,2012,19,69,United States Grand Prix,18/11/2012,19:00:00,http://en.wikipedia.org/wiki/2012_United_States_Grand_Prix
879,2012,20,18,Brazilian Grand Prix,25/11/2012,16:00:00,http://en.wikipedia.org/wiki/2012_Brazilian_Grand_Prix
880,2013,1,1,Australian Grand Prix,17/03/2013,06:00:00,http://en.wikipedia.org/wiki/2013_Australian_Grand_Prix
881,2013,2,2,Malaysian Grand Prix,24/03/2013,08:00:00,http://en.wikipedia.org/wiki/2013_Malaysian_Grand_Prix
882,2013,3,17,Chinese Grand Prix,14/04/2013,07:00:00,http://en.wikipedia.org/wiki/2013_Chinese_Grand_Prix
883,2013,4,3,Bahrain Grand Prix,21/04/2013,12:00:00,http://en.wikipedia.org/wiki/2013_Bahrain_Grand_Prix
884,2013,5,4,Spanish Grand Prix,12/05/2013,12:00:00,http://en.wikipedia.org/wiki/2013_Spanish_Grand_Prix
885,2013,6,6,Monaco Grand Prix,26/05/2013,12:00:00,http://en.wikipedia.org/wiki/2013_Monaco_Grand_Prix
886,2013,7,7,Canadian Grand Prix,09/06/2013,18:00:00,http://en.wikipedia.org/wiki/2013_Canadian_Grand_Prix
887,2013,8,9,British Grand Prix,30/06/2013,12:00:00,http://en.wikipedia.org/wiki/2013_British_Grand_Prix
888,2013,9,20,German Grand Prix,07/07/2013,12:00:00,http://en.wikipedia.org/wiki/2013_German_Grand_Prix
890,2013,10,11,Hungarian Grand Prix,28/07/2013,12:00:00,http://en.wikipedia.org/wiki/2013_Hungarian_Grand_Prix
891,2013,11,13,Belgian Grand Prix,25/08/2013,12:00:00,http://en.wikipedia.org/wiki/2013_Belgian_Grand_Prix
892,2013,12,14,Italian Grand Prix,08/09/2013,12:00:00,http://en.wikipedia.org/wiki/2013_Italian_Grand_Prix
893,2013,13,15,Singapore Grand Prix,22/09/2013,12:00:00,http://en.wikipedia.org/wiki/2013_Singapore_Grand_Prix
894,2013,14,35,Korean Grand Prix,06/10/2013,06:00:00,http://en.wikipedia.org/wiki/2013_Korean_Grand_Prix
895,2013,15,22,Japanese Grand Prix,13/10/2013,06:00:00,http://en.wikipedia.org/wiki/2013_Japanese_Grand_Prix
896,2013,16,68,Indian Grand Prix,27/10/2013,09:30:00,http://en.wikipedia.org/wiki/2013_Indian_Grand_Prix
897,2013,17,24,Abu Dhabi Grand Prix,03/11/2013,13:00:00,http://en.wikipedia.org/wiki/2013_Abu_Dhabi_Grand_Prix
898,2013,18,69,United States Grand Prix,17/11/2013,19:00:00,http://en.wikipedia.org/wiki/2013_United_States_Grand_Prix
899,2013,19,18,Brazilian Grand Prix,24/11/2013,16:00:00,http://en.wikipedia.org/wiki/2013_Brazilian_Grand_Prix
900,2014,1,1,Australian Grand Prix,16/03/2014,06:00:00,https://en.wikipedia.org/wiki/2014_Australian_Grand_Prix
901,2014,2,2,Malaysian Grand Prix,30/03/2014,08:00:00,https://en.wikipedia.org/wiki/2014_Malaysian_Grand_Prix
902,2014,3,3,Bahrain Grand Prix,06/04/2014,15:00:00,http://en.wikipedia.org/wiki/2014_Bahrain_Grand_Prix
903,2014,4,17,Chinese Grand Prix,20/04/2014,07:00:00,http://en.wikipedia.org/wiki/2014_Chinese_Grand_Prix
904,2014,5,4,Spanish Grand Prix,11/05/2014,12:00:00,http://en.wikipedia.org/wiki/2014_Spanish_Grand_Prix
905,2014,6,6,Monaco Grand Prix,25/05/2014,12:00:00,http://en.wikipedia.org/wiki/2014_Monaco_Grand_Prix
906,2014,7,7,Canadian Grand Prix,08/06/2014,18:00:00,http://en.wikipedia.org/wiki/2014_Canadian_Grand_Prix
907,2014,8,70,Austrian Grand Prix,22/06/2014,12:00:00,http://en.wikipedia.org/wiki/2014_Austrian_Grand_Prix
908,2014,9,9,British Grand Prix,06/07/2014,12:00:00,http://en.wikipedia.org/wiki/2014_British_Grand_Prix
909,2014,10,10,German Grand Prix,20/07/2014,12:00:00,http://en.wikipedia.org/wiki/2014_German_Grand_Prixs
910,2014,11,11,Hungarian Grand Prix,27/07/2014,12:00:00,http://en.wikipedia.org/wiki/2014_Hungarian_Grand_Prix
911,2014,12,13,Belgian Grand Prix,24/08/2014,12:00:00,http://en.wikipedia.org/wiki/2014_Belgian_Grand_Prix
912,2014,13,14,Italian Grand Prix,07/09/2014,12:00:00,http://en.wikipedia.org/wiki/2014_Italian_Grand_Prix
913,2014,14,15,Singapore Grand Prix,21/09/2014,12:00:00,http://en.wikipedia.org/wiki/2014_Singapore_Grand_Prix
914,2014,15,22,Japanese Grand Prix,05/10/2014,06:00:00,http://en.wikipedia.org/wiki/2014_Japanese_Grand_Prix
915,2014,16,71,Russian Grand Prix,12/10/2014,11:00:00,http://en.wikipedia.org/wiki/2014_Russian_Grand_Prix
916,2014,17,69,United States Grand Prix,02/11/2014,20:00:00,http://en.wikipedia.org/wiki/2014_United_States_Grand_Prix
917,2014,18,18,Brazilian Grand Prix,09/11/2014,16:00:00,http://en.wikipedia.org/wiki/2014_Brazilian_Grand_Prix
918,2014,19,24,Abu Dhabi Grand Prix,23/11/2014,13:00:00,http://en.wikipedia.org/wiki/2014_Abu_Dhabi_Grand_Prix
926,2015,1,1,Australian Grand Prix,15/03/2015,05:00:00,http://en.wikipedia.org/wiki/2015_Australian_Grand_Prix
927,2015,2,2,Malaysian Grand Prix,29/03/2015,07:00:00,http://en.wikipedia.org/wiki/2015_Malaysian_Grand_Prix
928,2015,3,17,Chinese Grand Prix,12/04/2015,06:00:00,http://en.wikipedia.org/wiki/2015_Chinese_Grand_Prix
929,2015,4,3,Bahrain Grand Prix,19/04/2015,15:00:00,http://en.wikipedia.org/wiki/2015_Bahrain_Grand_Prix
930,2015,5,4,Spanish Grand Prix,10/05/2015,12:00:00,http://en.wikipedia.org/wiki/2015_Spanish_Grand_Prix
931,2015,6,6,Monaco Grand Prix,24/05/2015,12:00:00,http://en.wikipedia.org/wiki/2015_Monaco_Grand_Prix
932,2015,7,7,Canadian Grand Prix,07/06/2015,18:00:00,http://en.wikipedia.org/wiki/2015_Canadian_Grand_Prix
933,2015,8,70,Austrian Grand Prix,21/06/2015,12:00:00,http://en.wikipedia.org/wiki/2015_Austrian_Grand_Prix
934,2015,9,9,British Grand Prix,05/07/2015,12:00:00,http://en.wikipedia.org/wiki/2015_British_Grand_Prix
936,2015,10,11,Hungarian Grand Prix,26/07/2015,12:00:00,http://en.wikipedia.org/wiki/2015_Hungarian_Grand_Prix
937,2015,11,13,Belgian Grand Prix,23/08/2015,12:00:00,http://en.wikipedia.org/wiki/2015_Belgian_Grand_Prix
938,2015,12,14,Italian Grand Prix,06/09/2015,12:00:00,http://en.wikipedia.org/wiki/2015_Italian_Grand_Prix
939,2015,13,15,Singapore Grand Prix,20/09/2015,12:00:00,https://en.wikipedia.org/wiki/2015_Singapore_Grand_Prix
940,2015,14,22,Japanese Grand Prix,27/09/2015,05:00:00,https://en.wikipedia.org/wiki/2015_Japanese_Grand_Prix
941,2015,15,71,Russian Grand Prix,11/10/2015,11:00:00,https://en.wikipedia.org/wiki/2015_Russian_Grand_Prix
942,2015,16,69,United States Grand Prix,25/10/2015,19:00:00,https://en.wikipedia.org/wiki/2015_United_States_Grand_Prix
943,2015,17,32,Mexican Grand Prix,01/11/2015,19:00:00,https://en.wikipedia.org/wiki/2015_Mexican_Grand_Prix
944,2015,18,18,Brazilian Grand Prix,15/11/2015,16:00:00,https://en.wikipedia.org/wiki/2015_Brazilian_Grand_Prix
945,2015,19,24,Abu Dhabi Grand Prix,29/11/2015,13:00:00,https://en.wikipedia.org/wiki/2015_Abu_Dhabi_Grand_Prix
948,2016,1,1,Australian Grand Prix,20/03/2016,05:00:00,https://en.wikipedia.org/wiki/2016_Australian_Grand_Prix
949,2016,2,3,Bahrain Grand Prix,03/04/2016,15:00:00,https://en.wikipedia.org/wiki/2016_Bahrain_Grand_Prix
950,2016,3,17,Chinese Grand Prix,17/04/2016,06:00:00,https://en.wikipedia.org/wiki/2016_Chinese_Grand_Prix
951,2016,4,71,Russian Grand Prix,01/05/2016,12:00:00,https://en.wikipedia.org/wiki/2016_Russian_Grand_Prix
952,2016,5,4,Spanish Grand Prix,15/05/2016,12:00:00,https://en.wikipedia.org/wiki/2016_Spanish_Grand_Prix
953,2016,6,6,Monaco Grand Prix,29/05/2016,12:00:00,https://en.wikipedia.org/wiki/2016_Monaco_Grand_Prix
954,2016,7,7,Canadian Grand Prix,12/06/2016,18:00:00,https://en.wikipedia.org/wiki/2016_Canadian_Grand_Prix
955,2016,8,73,European Grand Prix,19/06/2016,13:00:00,https://en.wikipedia.org/wiki/2016_European_Grand_Prix
956,2016,9,70,Austrian Grand Prix,03/07/2016,12:00:00,https://en.wikipedia.org/wiki/2016_Austrian_Grand_Prix
957,2016,10,9,British Grand Prix,10/07/2016,12:00:00,https://en.wikipedia.org/wiki/2016_British_Grand_Prix
958,2016,11,11,Hungarian Grand Prix,24/07/2016,12:00:00,https://en.wikipedia.org/wiki/2016_Hungarian_Grand_Prix
959,2016,12,10,German Grand Prix,31/07/2016,12:00:00,https://en.wikipedia.org/wiki/2016_German_Grand_Prix
960,2016,13,13,Belgian Grand Prix,28/08/2016,12:00:00,https://en.wikipedia.org/wiki/2016_Belgian_Grand_Prix
961,2016,14,14,Italian Grand Prix,04/09/2016,12:00:00,https://en.wikipedia.org/wiki/2016_Italian_Grand_Prix
962,2016,15,15,Singapore Grand Prix,18/09/2016,12:00:00,https://en.wikipedia.org/wiki/2016_Singapore_Grand_Prix
963,2016,16,2,Malaysian Grand Prix,02/10/2016,07:00:00,https://en.wikipedia.org/wiki/2016_Malaysian_Grand_Prix
964,2016,17,22,Japanese Grand Prix,09/10/2016,05:00:00,https://en.wikipedia.org/wiki/2016_Japanese_Grand_Prix
965,2016,18,69,United States Grand Prix,23/10/2016,19:00:00,https://en.wikipedia.org/wiki/2016_United_States_Grand_Prix
966,2016,19,32,Mexican Grand Prix,30/10/2016,19:00:00,https://en.wikipedia.org/wiki/2016_Mexican_Grand_Prix
967,2016,20,18,Brazilian Grand Prix,13/11/2016,16:00:00,https://en.wikipedia.org/wiki/2016_Brazilian_Grand_Prix
968,2016,21,24,Abu Dhabi Grand Prix,27/11/2016,13:00:00,https://en.wikipedia.org/wiki/2016_Abu_Dhabi_Grand_Prix
969,2017,1,1,Australian Grand Prix,26/03/2017,05:00:00,https://en.wikipedia.org/wiki/2017_Australian_Grand_Prix
970,2017,2,17,Chinese Grand Prix,09/04/2017,06:00:00,https://en.wikipedia.org/wiki/2017_Chinese_Grand_Prix
971,2017,3,3,Bahrain Grand Prix,16/04/2017,15:00:00,https://en.wikipedia.org/wiki/2017_Bahrain_Grand_Prix
972,2017,4,71,Russian Grand Prix,30/04/2017,12:00:00,https://en.wikipedia.org/wiki/2017_Russian_Grand_Prix
973,2017,5,4,Spanish Grand Prix,14/05/2017,12:00:00,https://en.wikipedia.org/wiki/2017_Spanish_Grand_Prix
974,2017,6,6,Monaco Grand Prix,28/05/2017,12:00:00,https://en.wikipedia.org/wiki/2017_Monaco_Grand_Prix
975,2017,7,7,Canadian Grand Prix,11/06/2017,18:00:00,https://en.wikipedia.org/wiki/2017_Canadian_Grand_Prix
976,2017,8,73,Azerbaijan Grand Prix,25/06/2017,13:00:00,https://en.wikipedia.org/wiki/2017_Azerbaijan_Grand_Prix
977,2017,9,70,Austrian Grand Prix,09/07/2017,12:00:00,https://en.wikipedia.org/wiki/2017_Austrian_Grand_Prix
978,2017,10,9,British Grand Prix,16/07/2017,12:00:00,https://en.wikipedia.org/wiki/2017_British_Grand_Prix
979,2017,11,11,Hungarian Grand Prix,30/07/2017,12:00:00,https://en.wikipedia.org/wiki/2017_Hungarian_Grand_Prix
980,2017,12,13,Belgian Grand Prix,27/08/2017,12:00:00,https://en.wikipedia.org/wiki/2017_Belgian_Grand_Prix
981,2017,13,14,Italian Grand Prix,03/09/2017,12:00:00,https://en.wikipedia.org/wiki/2017_Italian_Grand_Prix
982,2017,14,15,Singapore Grand Prix,17/09/2017,12:00:00,https://en.wikipedia.org/wiki/2017_Singapore_Grand_Prix
983,2017,15,2,Malaysian Grand Prix,01/10/2017,07:00:00,https://en.wikipedia.org/wiki/2017_Malaysian_Grand_Prix
984,2017,16,22,Japanese Grand Prix,08/10/2017,05:00:00,https://en.wikipedia.org/wiki/2017_Japanese_Grand_Prix
985,2017,17,69,United States Grand Prix,22/10/2017,19:00:00,https://en.wikipedia.org/wiki/2017_United_States_Grand_Prix
986,2017,18,32,Mexican Grand Prix,29/10/2017,19:00:00,https://en.wikipedia.org/wiki/2017_Mexican_Grand_Prix
987,2017,19,18,Brazilian Grand Prix,12/11/2017,16:00:00,https://en.wikipedia.org/wiki/2017_Brazilian_Grand_Prix
988,2017,20,24,Abu Dhabi Grand Prix,26/11/2017,13:00:00,https://en.wikipedia.org/wiki/2017_Abu_Dhabi_Grand_Prix
